"idvisitas","idvalidacion","iduser","idgeo","fvisita","idobs1","idobs2","idviento","temperatura","idnubes","observaciones","fcreacion","fmodificacion","ptf","protocolo","ffin"
125,NULL,NULL,"21","2012-07-25 10:30:00",77,0,0,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20120725",16,"2012-07-25 11:45:00"
126,NULL,NULL,"16","2012-07-20 10:45:00",77,55,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120720",16,"2012-07-20 11:55:00"
127,NULL,NULL,"16","2012-06-29 11:11:00",55,0,3,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120629",16,"2012-06-29 12:50:00"
128,NULL,NULL,"16","2012-07-10 10:20:00",77,0,2,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120710",16,"2012-07-10 11:45:00"
129,NULL,NULL,"17","2012-07-03 10:05:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20120703",16,"2012-07-03 11:52:00"
130,NULL,NULL,"24","2012-07-04 16:14:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20120704",16,"2012-07-04 17:32:00"
131,NULL,NULL,"23","2012-06-22 11:13:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20120622",16,"2012-06-22 13:34:00"
132,NULL,NULL,"15","2012-06-27 12:00:00",55,0,1,NULL,4,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20120627",16,"2012-06-27 12:57:00"
133,NULL,NULL,"21","2012-06-22 11:15:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20120622",16,"2012-06-22 12:23:00"
134,NULL,NULL,"14","2012-06-20 10:45:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20120620",16,"2012-06-20 12:10:00"
135,NULL,NULL,"18","2012-06-18 12:20:00",55,0,2,NULL,3,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20120618",16,"2012-06-18 13:45:00"
136,NULL,NULL,"15","2012-06-14 10:30:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20120614",16,"2012-06-14 11:40:00"
137,NULL,NULL,"16","2012-06-14 12:00:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120614",16,"2012-06-14 13:06:00"
138,NULL,NULL,"23","2012-06-13 10:35:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20120613",16,"2012-06-13 12:00:00"
139,NULL,NULL,"20","2012-06-12 12:47:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20120612",16,"2012-06-12 14:46:00"
140,NULL,NULL,"16","2012-06-04 11:26:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120604",16,"2012-06-04 12:50:00"
141,NULL,NULL,"24","2012-06-12 10:08:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20120612",16,"2012-06-12 11:25:00"
142,NULL,NULL,"17","2012-06-01 10:50:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20120601",16,"2012-06-01 12:10:00"
143,NULL,NULL,"24","2012-05-16 10:20:00",77,0,0,NULL,0,"La mayor parte de las observaciones se realizan en el prado frente al albergue. (punto 1740) Xilocopa violeaceus muy abundante.","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20120516",16,"2012-05-16 12:00:00"
144,NULL,NULL,"23","2012-05-22 10:30:00",77,55,0,NULL,0,"Algo de nieve","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20120522",16,"2012-05-22 11:36:00"
145,NULL,NULL,"14","2012-05-29 11:59:00",77,55,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20120529",16,"2012-05-29 13:04:00"
146,NULL,NULL,"21","2012-05-25 11:08:00",77,55,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20120525",16,"2012-05-25 12:30:00"
