"idesp","id","nombre_cientifico","created_at","updated_at","ent_pk","imagen","dicc_ecologia_id","dicc_biogeovoou_id","dicc_biogeosimple_id","dicc_estatussn_id","dicc_ecologiatrofica_id","ent_pk_padre","autor","nombre_comun","nivel","audio","idprotocolo"
16024,16331,"Vinca difformis subsp. difformis","2011-05-16 13:49:20.534945","2011-05-16 13:49:20.534945",9245,NULL,NULL,NULL,NULL,NULL,NULL,9244,NULL,NULL,10,NULL,NULL
16025,16332,"Vinca major","2011-05-16 13:49:20.546944","2011-05-16 13:49:20.546944",9246,NULL,NULL,NULL,NULL,NULL,NULL,9243,NULL,NULL,9,NULL,NULL
16026,16333,"Vinca minor","2011-05-16 13:49:20.558974","2011-05-16 13:49:20.558974",9247,NULL,NULL,NULL,NULL,NULL,NULL,9243,NULL,NULL,9,NULL,NULL
16027,16334,"Vinca media","2011-05-16 13:49:20.57101","2011-05-16 13:49:20.57101",104961,NULL,NULL,NULL,NULL,NULL,NULL,9243,NULL,NULL,9,NULL,NULL
16028,16335,"Carissa","2011-05-16 13:49:20.583031","2011-05-16 13:49:20.583031",107653,NULL,NULL,NULL,NULL,NULL,NULL,1853,NULL,NULL,8,NULL,NULL
16029,16336,"Carissa acokanthera","2011-05-16 13:49:20.595066","2011-05-16 13:49:20.595066",107654,NULL,NULL,NULL,NULL,NULL,NULL,107653,NULL,NULL,9,NULL,NULL
16030,16337,"Acokanthera","2011-05-16 13:49:20.607033","2011-05-16 13:49:20.607033",107859,NULL,NULL,NULL,NULL,NULL,NULL,1853,NULL,NULL,8,NULL,NULL
16031,16338,"Acokanthera oblongifolia","2011-05-16 13:49:20.619068","2011-05-16 13:49:20.619068",107860,NULL,NULL,NULL,NULL,NULL,NULL,107859,NULL,NULL,9,NULL,NULL
16032,16339,"Thevetia","2011-05-16 13:49:20.631134","2011-05-16 13:49:20.631134",108069,NULL,NULL,NULL,NULL,NULL,NULL,1853,NULL,NULL,8,NULL,NULL
16033,16340,"Thevetia peruviana","2011-05-16 13:49:20.643219","2011-05-16 13:49:20.643219",108085,NULL,NULL,NULL,NULL,NULL,NULL,108069,NULL,"Adelfa amarilla",9,NULL,NULL
16034,16341,"Asclepiadaceae","2011-05-16 13:49:20.655224","2011-05-16 13:49:20.655224",1854,NULL,NULL,NULL,NULL,NULL,NULL,280,NULL,NULL,7,NULL,NULL
16035,16342,"Asclepias","2011-05-16 13:49:20.667225","2011-05-16 13:49:20.667225",9250,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16036,16343,"Asclepias curassavica","2011-05-16 13:49:20.679312","2011-05-16 13:49:20.679312",9251,NULL,NULL,NULL,NULL,NULL,NULL,9250,NULL,NULL,9,NULL,NULL
16037,16344,"Asclepias fruticosa","2011-05-16 13:49:20.691343","2011-05-16 13:49:20.691343",9253,NULL,NULL,NULL,NULL,NULL,NULL,9250,NULL,NULL,9,NULL,NULL
16038,16345,"Gomphocarpus","2011-05-16 13:49:20.703336","2011-05-16 13:49:20.703336",9252,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16039,16346,"Cynanchum","2011-05-16 13:49:20.715322","2011-05-16 13:49:20.715322",9254,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16040,16347,"Cynanchum acutum","2011-05-16 13:49:20.727353","2011-05-16 13:49:20.727353",9255,NULL,NULL,NULL,NULL,NULL,NULL,9254,NULL,NULL,9,NULL,NULL
16041,16348,"Vincetoxicum","2011-05-16 13:49:20.739365","2011-05-16 13:49:20.739365",9256,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16042,16349,"Vincetoxicum nigrum","2011-05-16 13:49:20.751411","2011-05-16 13:49:20.751411",9257,NULL,NULL,NULL,NULL,NULL,NULL,9256,NULL,NULL,9,NULL,NULL
16043,16350,"Araujia","2011-05-16 13:49:20.763422","2011-05-16 13:49:20.763422",29710,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16044,16351,"Araujia sericifera","2011-05-16 13:49:20.77546","2011-05-16 13:49:20.77546",29711,NULL,NULL,NULL,NULL,NULL,NULL,29710,NULL,NULL,9,NULL,NULL
16045,16352,"Periploca","2011-05-16 13:49:20.860898","2011-05-16 13:49:20.860898",29750,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16046,16353,"Periploca laevigata","2011-05-16 13:49:20.873349","2011-05-16 13:49:20.873349",29751,NULL,NULL,NULL,NULL,NULL,NULL,29750,NULL,NULL,9,NULL,NULL
16047,16354,"Periploca laevigata subsp. angustifolia","2011-05-16 13:49:20.885874","2011-05-16 13:49:20.885874",104948,NULL,NULL,NULL,NULL,NULL,NULL,29751,NULL,NULL,10,NULL,NULL
16048,16355,"Periploca angustifolia","2011-05-16 13:49:20.898377","2011-05-16 13:49:20.898377",104952,NULL,NULL,NULL,NULL,NULL,NULL,29750,NULL,"Cornical",9,NULL,NULL
16049,16356,"Caralluma","2011-05-16 13:49:20.911042","2011-05-16 13:49:20.911042",104414,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16050,16357,"Caralluma europaea","2011-05-16 13:49:20.923593","2011-05-16 13:49:20.923593",104415,NULL,NULL,NULL,NULL,NULL,NULL,104414,NULL,NULL,9,NULL,NULL
16051,16358,"Caralluma europaea subsp. maroccana","2011-05-16 13:49:20.93608","2011-05-16 13:49:20.93608",104416,NULL,NULL,NULL,NULL,NULL,NULL,104415,NULL,NULL,10,NULL,NULL
16052,16359,"Stapelia","2011-05-16 13:49:20.948404","2011-05-16 13:49:20.948404",108062,NULL,NULL,NULL,NULL,NULL,NULL,1854,NULL,NULL,8,NULL,NULL
16053,16360,"Solanales","2011-05-16 13:49:20.960733","2011-05-16 13:49:20.960733",281,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,6,NULL,NULL
16054,16361,"Solanaceae","2011-05-16 13:49:20.973336","2011-05-16 13:49:20.973336",1856,NULL,NULL,NULL,NULL,NULL,NULL,281,NULL,NULL,7,NULL,NULL
16055,16362,"Solanum","2011-05-16 13:49:20.985525","2011-05-16 13:49:20.985525",9260,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16056,16363,"Solanum bonariense","2011-05-16 13:49:20.997701","2011-05-16 13:49:20.997701",9262,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16057,16364,"Solanum cornutum","2011-05-16 13:49:21.009933","2011-05-16 13:49:21.009933",9263,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16058,16365,"Solanum dulcamara","2011-05-16 13:49:21.022146","2011-05-16 13:49:21.022146",9264,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16059,16366,"Solanum jasminoides","2011-05-16 13:49:21.034518","2011-05-16 13:49:21.034518",9265,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16060,16367,"Solanum luteum","2011-05-16 13:49:21.046663","2011-05-16 13:49:21.046663",9266,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16061,16368,"Solanum luteum subsp. alatum","2011-05-16 13:49:21.058689","2011-05-16 13:49:21.058689",9261,NULL,NULL,NULL,NULL,NULL,NULL,9266,NULL,NULL,10,NULL,NULL
16062,16369,"Solanum luteum subsp. luteum","2011-05-16 13:49:21.070833","2011-05-16 13:49:21.070833",9271,NULL,NULL,NULL,NULL,NULL,NULL,9266,NULL,NULL,10,NULL,NULL
16063,16370,"Solanum chenopodioides","2011-05-16 13:49:21.082877","2011-05-16 13:49:21.082877",9267,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16064,16371,"Solanum nigrum","2011-05-16 13:49:21.094889","2011-05-16 13:49:21.094889",9268,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16065,16372,"Solanum sodomeum","2011-05-16 13:49:21.106865","2011-05-16 13:49:21.106865",9269,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16066,16373,"Solanum tuberosum","2011-05-16 13:49:21.118916","2011-05-16 13:49:21.118916",9270,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,"Patata",9,NULL,NULL
16067,16374,"Solanum citrullifolium","2011-05-16 13:49:21.13096","2011-05-16 13:49:21.13096",13375,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16068,16375,"Solanum sisymbrifolium","2011-05-16 13:49:21.142982","2011-05-16 13:49:21.142982",13376,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,NULL,9,NULL,NULL
16069,16376,"Solanum melongena","2011-05-16 13:49:21.155219","2011-05-16 13:49:21.155219",108061,NULL,NULL,NULL,NULL,NULL,NULL,9260,NULL,"Berengena",9,NULL,NULL
16070,16377,"Atropa","2011-05-16 13:49:21.167284","2011-05-16 13:49:21.167284",9272,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16071,16378,"Atropa baetica","2011-05-16 13:49:21.179328","2011-05-16 13:49:21.179328",9273,NULL,NULL,NULL,NULL,NULL,NULL,9272,NULL,"Tabaco de pastor",9,NULL,NULL
16072,16379,"Atropa bella-donna","2011-05-16 13:49:21.191423","2011-05-16 13:49:21.191423",106345,NULL,NULL,NULL,NULL,NULL,NULL,9272,NULL,NULL,9,NULL,NULL
16073,16380,"Atropa bella-donna x A. baetica","2011-05-16 13:49:21.203445","2011-05-16 13:49:21.203445",107556,NULL,NULL,NULL,NULL,NULL,NULL,9272,NULL,NULL,9,NULL,NULL
16074,16381,"Triguera","2011-05-16 13:49:21.215444","2011-05-16 13:49:21.215444",9274,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16075,16382,"Triguera osbeckii","2011-05-16 13:49:21.227457","2011-05-16 13:49:21.227457",9275,NULL,NULL,NULL,NULL,NULL,NULL,9274,NULL,NULL,9,NULL,NULL
16076,16383,"Mandragora","2011-05-16 13:49:21.239529","2011-05-16 13:49:21.239529",9276,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16077,16384,"Mandragora autumnalis","2011-05-16 13:49:21.251629","2011-05-16 13:49:21.251629",9277,NULL,NULL,NULL,NULL,NULL,NULL,9276,NULL,NULL,9,NULL,NULL
16078,16385,"Mandragora officinarum","2011-05-16 13:49:21.263653","2011-05-16 13:49:21.263653",9278,NULL,NULL,NULL,NULL,NULL,NULL,9276,NULL,NULL,9,NULL,NULL
16079,16386,"Physalis","2011-05-16 13:49:21.27563","2011-05-16 13:49:21.27563",9279,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16080,16387,"Physalis alkekengi","2011-05-16 13:49:21.28767","2011-05-16 13:49:21.28767",9280,NULL,NULL,NULL,NULL,NULL,NULL,9279,NULL,NULL,9,NULL,NULL
16081,16388,"Withania","2011-05-16 13:49:21.299667","2011-05-16 13:49:21.299667",9281,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16082,16389,"Withania somnifera","2011-05-16 13:49:21.311672","2011-05-16 13:49:21.311672",9282,NULL,NULL,NULL,NULL,NULL,NULL,9281,NULL,NULL,9,NULL,NULL
16083,16390,"Withania frutescens","2011-05-16 13:49:21.323752","2011-05-16 13:49:21.323752",9283,NULL,NULL,NULL,NULL,NULL,NULL,9281,NULL,NULL,9,NULL,NULL
16084,16391,"Whitania frutescens","2011-05-16 13:49:21.335779","2011-05-16 13:49:21.335779",105058,NULL,NULL,NULL,NULL,NULL,NULL,9281,NULL,NULL,9,NULL,NULL
16085,16392,"Cestrum","2011-05-16 13:49:21.347853","2011-05-16 13:49:21.347853",9284,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16086,16393,"Cestrum parqui","2011-05-16 13:49:21.359897","2011-05-16 13:49:21.359897",9285,NULL,NULL,NULL,NULL,NULL,NULL,9284,NULL,NULL,9,NULL,NULL
16087,16394,"Cestrum nocturnum","2011-05-16 13:49:21.371945","2011-05-16 13:49:21.371945",107666,NULL,NULL,NULL,NULL,NULL,NULL,9284,NULL,NULL,9,NULL,NULL
16088,16395,"Lycium","2011-05-16 13:49:21.384097","2011-05-16 13:49:21.384097",9286,NULL,NULL,NULL,NULL,NULL,NULL,1856,NULL,NULL,8,NULL,NULL
16089,16396,"Lycium europaeum","2011-05-16 13:49:21.396145","2011-05-16 13:49:21.396145",9287,NULL,NULL,NULL,NULL,NULL,NULL,9286,NULL,NULL,9,NULL,NULL
