"transect_id","transect_nombre","cult_id","loc","cultivo","replicate","distance"
332,"D017",2,"CANAR","CULT_2","R2",955.736918905354
329,"D018",4,"SANJUAN","CULT_2","R2",17579.0855447336
329,"D018",3,"CANAR","CULT_3","R3",752.669813546481
329,"D018",2,"CANAR","CULT_2","R2",982.437283880682
329,"D018",5,"SANJUAN","CULT_1","R1",17762.3062620123
329,"D018",1,"CANAR","CULT_1","R1",2423.61323426972
330,"D019",2,"CANAR","CULT_2","R2",876.084883306873
330,"D019",1,"CANAR","CULT_1","R1",2315.50402310758
330,"D019",5,"SANJUAN","CULT_1","R1",17849.6693321367
330,"D019",4,"SANJUAN","CULT_2","R2",17669.0728594757
330,"D019",3,"CANAR","CULT_3","R3",659.10471658467
444,"D030",1,"CANAR","CULT_1","R1",2177.0335521959
444,"D030",5,"SANJUAN","CULT_1","R1",17581.3413181951
444,"D030",4,"SANJUAN","CULT_2","R2",17422.5310984171
444,"D030",2,"CANAR","CULT_2","R2",819.745268007767
444,"D030",3,"CANAR","CULT_3","R3",455.430130306951
443,"D031",3,"CANAR","CULT_3","R3",551.631940772397
443,"D031",1,"CANAR","CULT_1","R1",2274.53645046829
443,"D031",5,"SANJUAN","CULT_1","R1",17505.1601469047
443,"D031",4,"SANJUAN","CULT_2","R2",17343.8674233485
443,"D031",2,"CANAR","CULT_2","R2",908.055809112565
442,"D032",3,"CANAR","CULT_3","R3",754.227463695529
442,"D032",1,"CANAR","CULT_1","R1",2479.22952668799
442,"D032",4,"SANJUAN","CULT_2","R2",17177.1251978881
442,"D032",5,"SANJUAN","CULT_1","R1",17343.5437970891
442,"D032",2,"CANAR","CULT_2","R2",1099.78368900329
441,"D033",4,"SANJUAN","CULT_2","R2",17179.4481825588
441,"D033",1,"CANAR","CULT_1","R1",2521.57523508038
441,"D033",5,"SANJUAN","CULT_1","R1",17349.2268078558
441,"D033",2,"CANAR","CULT_2","R2",1123.9008499467
441,"D033",3,"CANAR","CULT_3","R3",790.793435043791
439,"D034",3,"CANAR","CULT_3","R3",860.780800560549
439,"D034",1,"CANAR","CULT_1","R1",2570.12706849557
439,"D034",5,"SANJUAN","CULT_1","R1",17188.7535671106
439,"D034",4,"SANJUAN","CULT_2","R2",17025.4447705909
439,"D034",2,"CANAR","CULT_2","R2",1228.21561055002
440,"D035",3,"CANAR","CULT_3","R3",801.390308276155
440,"D035",5,"SANJUAN","CULT_1","R1",17248.4054489297
440,"D035",4,"SANJUAN","CULT_2","R2",17085.5225567425
440,"D035",2,"CANAR","CULT_2","R2",1167.57602690392
440,"D035",1,"CANAR","CULT_1","R1",2513.40545474998
437,"D036",3,"CANAR","CULT_3","R3",560.124716036679
437,"D036",1,"CANAR","CULT_1","R1",2209.99916789733
437,"D036",2,"CANAR","CULT_2","R2",957.631976932346
437,"D036",4,"SANJUAN","CULT_2","R2",17277.1974826711
437,"D036",5,"SANJUAN","CULT_1","R1",17427.6207848167
438,"D037",5,"SANJUAN","CULT_1","R1",17010.9981105626
438,"D037",3,"CANAR","CULT_3","R3",1027.97292116033
438,"D037",2,"CANAR","CULT_2","R2",1401.94425499963
438,"D037",4,"SANJUAN","CULT_2","R2",16847.7718687191
438,"D037",1,"CANAR","CULT_1","R1",2724.24785980107
436,"D038",1,"CANAR","CULT_1","R1",2659.79655678496
436,"D038",5,"SANJUAN","CULT_1","R1",17008.4232433549
436,"D038",4,"SANJUAN","CULT_2","R2",16851.2907080761
436,"D038",2,"CANAR","CULT_2","R2",1382.46392041924
436,"D038",3,"CANAR","CULT_3","R3",994.666928841482
435,"D039",2,"CANAR","CULT_2","R2",1441.05587130458
435,"D039",4,"SANJUAN","CULT_2","R2",16790.7665879324
435,"D039",5,"SANJUAN","CULT_1","R1",16943.8701445393
435,"D039",1,"CANAR","CULT_1","R1",2679.21813498644
435,"D039",3,"CANAR","CULT_3","R3",1046.82495515979
433,"D040",1,"CANAR","CULT_1","R1",2547.01736248059
433,"D040",3,"CANAR","CULT_3","R3",1041.2179045099
433,"D040",2,"CANAR","CULT_2","R2",1413.91311839728
433,"D040",4,"SANJUAN","CULT_2","R2",16832.5824178126
433,"D040",5,"SANJUAN","CULT_1","R1",16972.7125788943
434,"D041",2,"CANAR","CULT_2","R2",1358.05569302827
434,"D041",4,"SANJUAN","CULT_2","R2",16895.7396291763
434,"D041",5,"SANJUAN","CULT_1","R1",17033.6485898376
434,"D041",1,"CANAR","CULT_1","R1",2473.38222349841
434,"D041",3,"CANAR","CULT_3","R3",996.312332958499
431,"D042",1,"CANAR","CULT_1","R1",2330.35537242802
431,"D042",5,"SANJUAN","CULT_1","R1",17193.4413623631
431,"D042",4,"SANJUAN","CULT_2","R2",17054.0172290328
431,"D042",2,"CANAR","CULT_2","R2",1195.74996728243
431,"D042",3,"CANAR","CULT_3","R3",834.355427710528
432,"D043",2,"CANAR","CULT_2","R2",1249.00005371396
432,"D043",4,"SANJUAN","CULT_2","R2",16994.3180478493
432,"D043",5,"SANJUAN","CULT_1","R1",17135.9855125194
432,"D043",1,"CANAR","CULT_1","R1",2402.10152855428
432,"D043",3,"CANAR","CULT_3","R3",874.896273124436
27,"G001a",5,"SANJUAN","CULT_1","R1",648.949022922986
27,"G001a",1,"CANAR","CULT_1","R1",19149.0194153612
27,"G001a",4,"SANJUAN","CULT_2","R2",186.512595069431
27,"G001a",2,"CANAR","CULT_2","R2",18080.2128914112
